secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
T70735C,T70735,326201,2135375,40.53197941613965,0,0.19022846677683225,4G,4G,4G,4G,4G,5G
T78258A,T78258,330075,2133875,30.020546362120655,0,0.466519756987112,0,4G,4G,4G,0,0
T78258B,T78258,330075,2133875,121.29842260455321,1,1.8849793722541293,0,4G,4G,4G,0,0
T78258C,T78258,330075,2133875,70.33540353044137,1,1.0930132638763228,0,4G,4G,4G,0,0
T70736A,T70736,330516,2134754,20.58905363403269,1,1.4397939604218664,0,4G,0,0,0,0
T70736B,T70736,330516,2134754,43.71583731966116,1,3.0570515608154656,0,4G,0,0,0,0
T70736C,T70736,330516,2134754,61.39125886178668,1,4.293095025299768,0,4G,0,0,0,0
T70722A,T70722,330700,2138920,11.836694861615054,0,0.05555308049755975,4G,4G,4G,4G,4G,5G
T70722B,T70722,330700,2138920,39.227562539542255,0,0.1841064558104954,4G,4G,4G,4G,4G,5G
T70722C,T70722,330700,2138920,48.30744923565497,0,0.22672102705990976,4G,4G,4G,4G,4G,5G
T70725A,T70725,333055,2136495,53.14129161237521,0,0.6193623731046062,0,4G,4G,4G,4G,0
T70725B,T70725,333055,2136495,52.30810691641307,0,0.60965159576239,0,4G,4G,4G,4G,0
T70725C,T70725,333055,2136495,32.08303801229883,0,0.37392818196152483,0,4G,4G,4G,4G,0
T78279A,T78279,326299,2136325,5.628129044444317,0,0.3935754576534487,0,4G,0,0,0,0
T78279B,T78279,326299,2136325,3.356779937995862,0,0.2347398558039064,0,4G,0,0,0,0
T78279C,T78279,326299,2136325,7.969273476584196,0,0.5572918515093843,0,4G,0,0,0,0
T70731A,T70731,334370,2128940,10.068486740996637,0,0.11734833031464612,0,4G,4G,4G,4G,0
T70731B,T70731,334370,2128940,42.284813495254284,0,0.4928299941171828,0,4G,4G,4G,4G,0
T70731C,T70731,334370,2128940,42.519098651128346,0,0.49556059033949124,0,4G,4G,4G,4G,0
T70743A,T70743,336807,2138015,3.589118792059558,0,0.0418312213526755,0,4G,4G,4G,4G,0
T70743B,T70743,336807,2138015,16.37832831229667,0,0.19088960736942506,0,4G,4G,4G,4G,0
T70743C,T70743,336807,2138015,12.718420094965376,0,0.1482333344401559,0,4G,4G,4G,4G,0
T78273A,T78273,330839,2133352,23.97094533694527,0,0.1125026767585548,4G,4G,4G,4G,4G,5G
T78273B,T78273,330839,2133352,75.71720787288696,0,0.35536306318527694,4G,4G,4G,4G,4G,5G
T78273C,T78273,330839,2133352,114.67041927971813,0,0.5381819086671898,4G,4G,4G,4G,4G,5G
