,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
51,T78269B,T78269,332350,2134075,86.55125748854384,0,0.40621043548384966,4G,4G,4G,4G,4G,5G
52,T78269C,T78269,332350,2134075,42.61574082623736,0,0.20000817020808823,4G,4G,4G,4G,4G,5G
53,T78271A,T78271,331270,2134765,110.99829086027395,1,1.2936863736628665,5G,5G,5G,5G,5G,0
54,T78271B,T78271,331270,2134765,94.96753205317634,1,1.1068476929274633,5G,5G,5G,5G,5G,0
55,T78271C,T78271,331270,2134765,209.52214430882964,1,2.4419830339024435,5G,5G,5G,5G,5G,0
56,T70744A,T70744,329300,2132650,182.2875089264836,1,0.8555287413830366,5G,5G,5G,5G,5G,5G
57,T70744B,T70744,329300,2132650,134.79146925222398,0,0.6326158973681136,5G,5G,5G,5G,5G,5G
58,T70744C,T70744,329300,2132650,50.21087729780102,0,0.23565437320036148,4G,4G,4G,4G,4G,5G
59,T70735A,T70735,326201,2135375,37.50080695530037,0,0.17600228542404078,4G,4G,4G,4G,4G,5G
60,T70735B,T70735,326201,2135375,39.18184998227057,0,0.18389191337246244,4G,4G,4G,4G,4G,5G
61,T70735C,T70735,326201,2135375,56.383841677231835,0,0.2646259054640815,4G,4G,4G,4G,4G,5G
62,T78258A,T78258,330075,2133875,45.41827220112985,0,0.7058006558062138,5G,5G,5G,5G,5G,0
63,T78258B,T78258,330075,2133875,180.16727947879113,1,2.799802322902737,5G,5G,5G,5G,5G,0
64,T78258C,T78258,330075,2133875,102.02915292164101,1,1.5855346219369235,5G,5G,5G,5G,5G,0
65,T70736A,T70736,330516,2134754,30.80905978834094,1,2.154479705478387,5G,5G,5G,5G,5G,0
66,T70736B,T70736,330516,2134754,66.59257429202148,1,4.656823377064439,5G,5G,5G,5G,5G,0
67,T70736C,T70736,330516,2134754,90.89010345677957,1,6.355951290683886,5G,5G,5G,5G,5G,0
68,T70722A,T70722,330700,2138920,16.656912718929764,0,0.07817577659421676,4G,4G,4G,4G,4G,5G
69,T70722B,T70722,330700,2138920,57.272471453024096,0,0.2687965056226784,4G,4G,4G,4G,4G,5G
70,T70722C,T70722,330700,2138920,68.54305932523421,0,0.32169267998889667,4G,4G,4G,4G,4G,5G
71,T70725A,T70725,333055,2136495,79.65688751677929,1,0.9284019524100151,0,4G,4G,4G,4G,5G
72,T70725B,T70725,333055,2136495,73.03688734574723,1,0.8512457732604573,0,4G,4G,4G,4G,5G
73,T70725C,T70725,333055,2136495,40.4714864984857,0,0.4716956468354977,0,4G,4G,4G,4G,5G
74,T78279A,T78279,326299,2136325,8.023535256480088,0,0.561086381572034,5G,5G,5G,5G,5G,0
75,T78279B,T78279,326299,2136325,4.913345617465874,0,0.34359060261999114,5G,5G,5G,5G,5G,0
76,T78279C,T78279,326299,2136325,12.11059955635777,1,0.8468950738711727,4G,4G,4G,4G,4G,0
77,T70731A,T70731,334370,2128940,14.225208774664688,0,0.165794974063691,0,4G,4G,4G,4G,0
78,T70731B,T70731,334370,2128940,63.46769726819963,0,0.739716751377618,0,4G,4G,4G,4G,0
79,T70731C,T70731,334370,2128940,63.551247979351345,0,0.7406905358898759,0,4G,4G,4G,4G,0
80,T70743A,T70743,336807,2138015,5.388164528517876,0,0.06279912037899622,0,4G,4G,4G,4G,0
81,T70743B,T70743,336807,2138015,20.905228190368277,0,0.2436506782094205,0,4G,4G,4G,4G,0
82,T70743C,T70743,336807,2138015,17.488657526006534,0,0.20383050729611346,0,4G,4G,4G,4G,0
83,T78273A,T78273,330839,2133352,35.38929605182121,0,0.1660923454818661,4G,4G,4G,4G,4G,5G
84,T78273B,T78273,330839,2133352,111.03872551208106,0,0.521137304698367,4G,4G,4G,4G,4G,5G
85,T78273C,T78273,330839,2133352,167.87983904842244,0,0.7879093211077226,4G,4G,4G,4G,4G,5G
