,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,rho_avec_chg,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,T70730A,T70730,332710,2132198,95.13210418110512,1,1.4783543773287513,0.5157050153472388,0,4G,4G,4G,0,5G
1,T70730B,T70730,332710,2132198,72.67345019426662,1,1.1293465453654488,0.39395809722050534,0,4G,4G,4G,0,5G
2,T70730C,T70730,332710,2132198,21.35000109134466,0,0.3317793487388447,0.11573698211820166,0,4G,4G,4G,0,5G
3,T78259A,T78259,334998,2134973,54.27726326172116,0,0.2730656701802141,0.2730656701802141,4G,0,4G,4G,4G,5G
4,T78259B,T78259,334998,2134973,55.0094517531568,0,0.2767492667563354,0.27674926675633543,4G,0,4G,4G,4G,5G
5,T78259C,T78259,334998,2134973,77.63382014658121,0,0.3905711130783378,0.3905711130783378,4G,0,4G,4G,4G,5G
6,T70745A,T70745,333740,2138512,77.1824311391532,1,1.19941617931862,0.7822279430338825,0,5G,5G,4G,5G,0
7,T70745B,T70745,333740,2138512,83.13957806672855,1,1.2919903351472968,0.8426023924873675,0,5G,5G,4G,5G,0
8,T70745C,T70745,333740,2138512,13.903655733319916,0,0.2160630261588177,0.16204726961911325,0,4G,4G,4G,4G,0
9,T70747A,T70747,330348,2141263,23.911413491052134,0,0.557375605852031,0.23223983577167964,0,5G,5G,5G,5G,0
10,T70747B,T70747,330348,2141263,29.588534223058154,0,0.6897094224489081,0.28737892602037834,0,5G,5G,5G,5G,0
11,T70747C,T70747,330348,2141263,81.95861456980853,1,1.910457216079453,0.7960238400331054,0,5G,5G,5G,5G,0
12,T78264A,T78264,325260,2135700,10.49678008568263,0,0.2446801884774506,0.2446801884774506,0,4G,4G,0,0,0
13,T78264B,T78264,325260,2135700,13.785886030538594,0,0.3213493247211793,0.32134932472117933,0,4G,4G,0,0,0
14,T78264C,T78264,325260,2135700,26.037108194048592,0,0.6069255989288717,0.6069255989288717,0,4G,4G,0,0,0
15,T78270A,T78270,329209,2135671,47.73216547186912,0,0.2240210516349984,0.22402105163499847,4G,4G,4G,4G,4G,5G
16,T78270B,T78270,329209,2135671,35.63650562939103,0,0.1672525725319896,0.16725257253198964,4G,4G,4G,4G,4G,5G
17,T78270C,T78270,329209,2135671,68.6699039780278,0,0.3222879991459511,0.32228799914595113,4G,4G,4G,4G,4G,5G
18,T70738A,T70738,328550,2134560,79.53692395299015,0,0.3732901110104198,0.3732901110104198,4G,4G,4G,4G,4G,5G
19,T70738B,T70738,328550,2134560,32.94395923660647,0,0.1546156626301519,0.15461566263015192,4G,4G,4G,4G,4G,5G
20,T70738C,T70738,328550,2134560,73.11779794298116,0,0.3431632700191541,0.3431632700191541,4G,4G,4G,4G,4G,5G
21,T36870A,T36870,339649,2128802,43.4506955927498,1,1.012836727103725,0.779105174695173,4G,4G,5G,0,0,0
22,T36870B,T36870,339649,2128802,12.504076219405906,0,0.2914703081446598,0.224207929342046,4G,4G,5G,0,0,0
23,T78256A,T78256,327930,2135899,48.53624252218184,0,0.2532942413223141,0.25329424132231415,4G,4G,4G,4G,0,5G
24,T78256B,T78256,327930,2135899,91.51470734780074,0,0.4775843197359395,0.47758431973593957,4G,4G,4G,4G,0,5G
25,T78256C,T78256,327930,2135899,67.62400643659089,0,0.3529068282882313,0.35290682828823133,4G,4G,4G,4G,0,5G
26,T78274A,T78274,330815,2134120,165.22335132336096,1,2.567573447138477,0.7266717303222103,4G,4G,5G,5G,5G,5G
27,T78274B,T78274,330815,2134120,30.84540794454127,0,0.4793381187962902,0.1356617317347991,4G,4G,5G,5G,5G,5G
28,T78274C,T78274,330815,2134120,57.75502487212278,1,0.8975139840267722,0.2540133917056902,4G,4G,5G,5G,5G,5G
29,T77125A,T77125,336170,2124950,56.53548650818571,0,0.265337619130735,0.26533761913073506,4G,4G,4G,4G,4G,5G
30,T77125B,T77125,336170,2124950,47.0965608454862,0,0.2210379727107814,0.2210379727107814,4G,4G,4G,4G,4G,5G
31,T77125C,T77125,336170,2124950,156.95553556746017,0,0.7366383609492662,0.7366383609492662,4G,4G,4G,4G,4G,5G
32,T78280A,T78280,326663,2134352,11.775411171316868,0,0.2744851088885051,0.2573297895829735,0,5G,4G,0,0,0
33,T78280B,T78280,326663,2134352,35.87569065342208,1,0.8362631853944542,0.7839967363073008,0,5G,4G,0,0,0
34,T78280C,T78280,326663,2134352,36.00030998386343,1,0.8391680648919215,0.8391680648919215,0,4G,4G,0,0,0
35,T78262A,T78262,330700,2135150,114.70141639089763,1,1.336846344882257,0.557019310367607,0,4G,4G,4G,4G,5G
36,T78262B,T78262,330700,2135150,68.44032292967906,0,0.7976727614181708,0.3323636505909045,0,4G,4G,4G,4G,5G
37,T78262C,T78262,330700,2135150,77.43739542862846,1,0.9025337462544112,0.3760557276060046,0,4G,4G,4G,4G,5G
38,T76995A,T76995,338993,2130434,15.83951500671937,0,0.3692194640260925,0.36921946402609257,0,4G,4G,0,0,0
39,T76995B,T76995,338993,2130434,17.1237490978837,0,0.3991549906266596,0.39915499062665966,0,4G,4G,0,0,0
40,T76995C,T76995,338993,2130434,30.54121567353172,0,0.7119164492664737,0.7119164492664737,0,4G,4G,0,0,0
41,T70737A,T70737,331250,2136350,53.8735589523636,0,0.2528444124107739,0.25284441241077393,4G,4G,4G,4G,4G,5G
42,T70737B,T70737,331250,2136350,55.38561363431218,0,0.2599409284944486,0.25994092849444866,4G,4G,4G,4G,4G,5G
43,T70737C,T70737,331250,2136350,35.00727274729626,0,0.1642993980724469,0.16429939807244692,4G,4G,4G,4G,4G,5G
44,T70724A,T70724,330420,2136140,67.57473384992255,0,0.787584310605158,0.7621783651017657,0,5G,4G,4G,4G,0
45,T70724B,T70724,330420,2136140,47.46040556715998,0,0.5531515800368296,0.5353079806808029,0,5G,4G,4G,4G,0
46,T70724C,T70724,330420,2136140,69.11633072630039,1,0.8055516401666712,0.8055516401666712,0,4G,4G,4G,4G,0
47,T70721A,T70721,334257,2132312,4.445676857870755,0,0.3108864935573954,0.3108864935573954,0,4G,0,0,0,0
48,T70721B,T70721,334257,2132312,7.432885337288571,0,0.5197821914187811,0.5197821914187811,0,4G,0,0,0,0
49,T70721C,T70721,334257,2132312,1.7923809232356165,0,0.1253413233031899,0.12534132330318995,0,4G,0,0,0,0
50,T78269A,T78269,332350,2134075,118.81127729737906,0,0.5576161697910502,0.5576161697910502,4G,4G,4G,4G,4G,5G
51,T78269B,T78269,332350,2134075,95.68795418996558,0,0.449091632749639,0.44909163274963904,4G,4G,4G,4G,4G,5G
52,T78269C,T78269,332350,2134075,47.470862397032136,0,0.2227946796688043,0.2227946796688043,4G,4G,4G,4G,4G,5G
53,T78271A,T78271,331270,2134765,121.5946300361598,1,1.4171868302582729,0.5904945126076138,0,4G,4G,4G,4G,5G
54,T78271B,T78271,331270,2134765,104.55690886612352,1,1.218611991446661,0.5077549964361088,0,4G,4G,4G,4G,5G
55,T78271C,T78271,331270,2134765,231.38798885193563,1,2.696829706899017,1.123679044541257,0,4G,4G,4G,4G,5G
56,T70744A,T70744,329300,2132650,200.50502650881,1,0.9410288943014504,0.8655142299439265,5G,5G,5G,5G,5G,5G
57,T70744B,T70744,329300,2132650,149.92288345106644,0,0.7036320620034094,0.6471677607315309,5G,5G,5G,5G,5G,5G
58,T70744C,T70744,329300,2132650,55.517189392494025,0,0.2605584521166472,0.26055845211664724,4G,4G,4G,4G,4G,5G
59,T70735A,T70735,326201,2135375,40.95590123609467,0,0.1922180562073246,0.19221805620732468,4G,4G,4G,4G,4G,5G
60,T70735B,T70735,326201,2135375,42.90680285205982,0,0.2013742096590783,0.20137420965907835,4G,4G,4G,4G,4G,5G
61,T70735C,T70735,326201,2135375,61.662974638270754,0,0.2894024247349263,0.28940242473492633,4G,4G,4G,4G,4G,5G
62,T78258A,T78258,330075,2133875,50.54616447415755,0,0.7854881814165898,0.274007505145322,0,4G,4G,4G,0,5G
63,T78258B,T78258,330075,2133875,199.77232761665323,1,3.104465075627867,1.0829529333585581,0,4G,4G,4G,0,5G
64,T78258C,T78258,330075,2133875,112.58409683385622,1,1.74955861435674,0.6103111445430489,0,4G,4G,4G,0,5G
65,T70736A,T70736,330516,2134754,34.21262023206586,1,2.3924909253192905,0.7974969751064304,0,4G,4G,0,0,0
66,T70736B,T70736,330516,2134754,74.21119563774366,1,5.189594100541514,1.729864700180505,0,4G,4G,0,0,0
67,T70736C,T70736,330516,2134754,100.71407998704636,1,7.042942656436808,2.347647552145603,0,4G,4G,0,0,0
68,T70722A,T70722,330700,2138920,18.26218600170337,0,0.0857097949110779,0.0857097949110779,4G,4G,4G,4G,4G,5G
69,T70722B,T70722,330700,2138920,63.28195297986796,0,0.2970007649123197,0.2970007649123197,4G,4G,4G,4G,4G,5G
70,T70722C,T70722,330700,2138920,75.28210830579663,0,0.3533210133092253,0.3533210133092253,4G,4G,4G,4G,4G,5G
71,T70725A,T70725,333055,2136495,88.48735513092846,1,1.0313211553721269,0.7933239656708666,5G,5G,5G,5G,5G,0
72,T70725B,T70725,333055,2136495,79.94017644858205,1,0.931703688211912,0.7166951447783938,5G,5G,5G,5G,5G,0
73,T70725C,T70725,333055,2136495,43.26508476258991,0,0.5042550671630526,0.4654662158428177,4G,4G,4G,4G,4G,0
74,T78279A,T78279,326299,2136325,8.821275463955502,0,0.6168724100668183,0.5140603417223486,0,5G,0,0,0,0
75,T78279B,T78279,326299,2136325,5.431727435902511,0,0.379841079433742,0.31653423286145166,0,5G,0,0,0,0
76,T78279C,T78279,326299,2136325,13.489782055552435,1,0.9433414024861844,0.9433414024861843,0,4G,0,0,0,0
77,T70731A,T70731,334370,2128940,15.60951857602312,0,0.1819291209326703,0.17606043961226167,0,5G,4G,4G,4G,0
78,T70731B,T70731,334370,2128940,70.52221604294876,1,0.8219372499178177,0.795423145081759,0,5G,4G,4G,4G,0
79,T70731C,T70731,334370,2128940,70.55556778300226,1,0.8223259648368562,0.8223259648368562,0,4G,4G,4G,4G,0
80,T70743A,T70743,336807,2138015,5.987299285641313,0,0.0697820429561924,0.06978204295619246,0,4G,4G,4G,4G,0
81,T70743B,T70743,336807,2138015,22.41281802202534,0,0.2612216552683606,0.2612216552683606,0,4G,4G,4G,4G,0
82,T70743C,T70743,336807,2138015,19.077285867548525,0,0.2223459891322672,0.2223459891322672,0,4G,4G,4G,4G,0
83,T78273A,T78273,330839,2133352,39.191940222377525,0,0.1839392698285893,0.1691787111386408,5G,5G,5G,5G,5G,5G
84,T78273B,T78273,330839,2133352,122.80182217111924,0,0.5763449672460658,0.5300950624670605,5G,5G,5G,5G,5G,5G
85,T78273C,T78273,330839,2133352,185.60012939110223,1,0.8710758407617322,0.8710758407617322,4G,4G,4G,4G,4G,5G
