,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,rho_avec_chg,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,T70730A,T70730,332710,2132198,79.67132040541127,1,1.2380935571936484,0.4318931013466215,0,4G,4G,4G,0,5G
1,T70730B,T70730,332710,2132198,60.09617804042109,1,0.9338955406436844,0.3257775141780294,0,4G,4G,4G,0,5G
2,T70730C,T70730,332710,2132198,19.199510280907507,0,0.2983606881259908,0.10407930981139213,0,4G,4G,4G,0,5G
3,T78259A,T78259,334998,2134973,44.957161247023,0,0.2261767935152336,0.22617679351523365,4G,0,4G,4G,4G,5G
4,T78259B,T78259,334998,2134973,45.21476484882834,0,0.2274727818525347,0.22747278185253478,4G,0,4G,4G,4G,5G
5,T78259C,T78259,334998,2134973,60.28883944281528,0,0.3033095509524338,0.30330955095243384,4G,0,4G,4G,4G,5G
6,T70745A,T70745,333740,2138512,61.540437376363,1,0.9563393531680344,0.6236995781530658,0,5G,5G,4G,5G,0
7,T70745B,T70745,333740,2138512,67.026807351665,1,1.041597627842502,0.6793028007668491,0,5G,5G,4G,5G,0
8,T70745C,T70745,333740,2138512,12.450627796737354,0,0.1934829494442479,0.14511221208318595,0,4G,4G,4G,4G,0
9,T70747A,T70747,330348,2141263,18.811205726988216,0,0.4384896439857393,0.1827040183273914,0,5G,5G,5G,5G,0
10,T70747B,T70747,330348,2141263,22.761881533368108,0,0.5305799891227997,0.22107499546783324,0,5G,5G,5G,5G,0
11,T70747C,T70747,330348,2141263,69.48694043994081,1,1.6197422013972218,0.6748925839155091,0,5G,5G,5G,5G,0
12,T78264A,T78264,325260,2135700,8.506885036519254,0,0.1982956884969523,0.1982956884969523,0,4G,4G,0,0,0
13,T78264B,T78264,325260,2135700,11.02969074834966,0,0.257102348446379,0.257102348446379,0,4G,4G,0,0,0
14,T78264C,T78264,325260,2135700,21.273097733640604,0,0.4958764040475665,0.49587640404756655,0,4G,4G,0,0,0
15,T78270A,T78270,329209,2135671,38.73721621761065,0,0.18180511671099,0.18180511671099006,4G,4G,4G,4G,4G,5G
16,T78270B,T78270,329209,2135671,28.608542985505512,0,0.1342682826559605,0.13426828265596055,4G,4G,4G,4G,4G,5G
17,T78270C,T78270,329209,2135671,54.880703385153865,0,0.257571236613103,0.25757123661310305,4G,4G,4G,4G,4G,5G
18,T70738A,T70738,328550,2134560,65.42871612648233,0,0.3070761539704432,0.3070761539704432,4G,4G,4G,4G,4G,5G
19,T70738B,T70738,328550,2134560,26.42978338865624,0,0.124042724872841,0.12404272487284104,4G,4G,4G,4G,4G,5G
20,T70738C,T70738,328550,2134560,59.45608144834896,0,0.2790448277483876,0.2790448277483876,4G,4G,4G,4G,4G,5G
21,T36870A,T36870,339649,2128802,34.03469513021253,0,0.793349536834791,0.793349536834791,0,4G,4G,0,0,0
22,T36870B,T36870,339649,2128802,9.947723573807927,0,0.2318816683871311,0.23188166838713117,0,4G,4G,0,0,0
23,T78256A,T78256,327930,2135899,41.15939312686388,0,0.2147969581821515,0.21479695818215155,4G,4G,4G,4G,0,5G
24,T78256B,T78256,327930,2135899,76.72391268282539,0,0.4003961626282506,0.4003961626282506,4G,4G,4G,4G,0,5G
25,T78256C,T78256,327930,2135899,56.137122839074834,0,0.2929606661051812,0.29296066610518123,4G,4G,4G,4G,0,5G
26,T78274A,T78274,330815,2134120,131.55033618538943,1,2.044294268615221,0.5785738496080812,4G,4G,5G,5G,5G,5G
27,T78274B,T78274,330815,2134120,24.636934747950896,0,0.3828583488415058,0.1083561364645771,4G,4G,5G,5G,5G,5G
28,T78274C,T78274,330815,2134120,45.75401444285856,0,0.7110180954601176,0.20123153645097666,4G,4G,5G,5G,5G,5G
29,T77125A,T77125,336170,2124950,44.65418525765401,0,0.2095751877676538,0.20957518776765385,4G,4G,4G,4G,4G,5G
30,T77125B,T77125,336170,2124950,37.5185263189717,0,0.1760854475945543,0.17608544759455438,4G,4G,4G,4G,4G,5G
31,T77125C,T77125,336170,2124950,127.62187332588374,0,0.5989668809587635,0.5989668809587635,4G,4G,4G,4G,4G,5G
32,T78280A,T78280,326663,2134352,9.207707838824854,0,0.2146318843548917,0.21463188435489172,0,4G,4G,0,0,0
33,T78280B,T78280,326663,2134352,29.45494539809261,0,0.6865954638250027,0.6865954638250027,0,4G,4G,0,0,0
34,T78280C,T78280,326663,2134352,29.11076447349484,0,0.6785725984497631,0.6785725984497631,0,4G,4G,0,0,0
35,T78262A,T78262,330700,2135150,92.5321304105729,1,1.0784630583982855,0.44935960766595234,0,4G,4G,4G,4G,5G
36,T78262B,T78262,330700,2135150,55.81474905764144,0,0.6505215507883617,0.2710506461618174,0,4G,4G,4G,4G,5G
37,T78262C,T78262,330700,2135150,64.5506806618478,0,0.7523389354527716,0.31347455643865485,0,4G,4G,4G,4G,5G
38,T76995A,T76995,338993,2130434,15.252324516519614,0,0.3555320400121122,0.35553204001211225,0,4G,4G,0,0,0
39,T76995B,T76995,338993,2130434,13.87423893797377,0,0.3234088330530016,0.32340883305300167,0,4G,4G,0,0,0
40,T76995C,T76995,338993,2130434,25.453823934173883,0,0.5933292292348225,0.5933292292348225,0,4G,4G,0,0,0
