,Unnamed: 0,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
49,49,T70721C,T70721,334257,2132312,1.3243872268325794,0,0.09261449138689366,0,4G,0,0,0,0
50,50,T78269A,T78269,332350,2134075,83.07834200773576,0,0.38991102458223004,4G,4G,4G,4G,4G,5G
51,51,T78269B,T78269,332350,2134075,68.25283203994306,0,0.320330558220036,4G,4G,4G,4G,4G,5G
52,52,T78269C,T78269,332350,2134075,32.892195981714124,0,0.15437272249361303,4G,4G,4G,4G,4G,5G
53,53,T78271A,T78271,331270,2134765,89.77658144226693,1,1.0463471030567242,0,4G,4G,4G,4G,5G
54,54,T78271B,T78271,331270,2134765,75.76250616204105,0,0.8830128923314808,0,4G,4G,4G,4G,5G
55,55,T78271C,T78271,331270,2134765,165.7305487992119,1,1.9315914778462926,0,4G,4G,4G,4G,5G
56,56,T70744A,T70744,329300,2132650,145.80256275475594,0,0.6842941885519123,4G,4G,4G,4G,4G,5G
57,57,T70744B,T70744,329300,2132650,104.48718492522718,0,0.4903890032629051,4G,4G,4G,4G,4G,5G
58,58,T70744C,T70744,329300,2132650,39.58371526705969,0,0.1857779850145947,4G,4G,4G,4G,4G,5G
59,59,T70735A,T70735,326201,2135375,30.58115238198357,0,0.14352631708820374,4G,4G,4G,4G,4G,5G
60,60,T70735B,T70735,326201,2135375,31.72173889236388,0,0.14887942409707552,4G,4G,4G,4G,4G,5G
61,61,T70735C,T70735,326201,2135375,45.81111237717856,0,0.21500498604767712,4G,4G,4G,4G,4G,5G
62,62,T78258A,T78258,330075,2133875,35.14843863514835,0,0.5462072825974881,0,4G,4G,4G,0,5G
63,63,T78258B,T78258,330075,2133875,140.9034707424153,1,2.189642124979259,0,4G,4G,4G,0,5G
64,64,T78258C,T78258,330075,2133875,80.89034744265658,1,1.2570372562961396,0,4G,4G,4G,0,5G
65,65,T70736A,T70736,330516,2134754,23.99261407775761,1,1.67780518026277,0,4G,0,0,0,5G
66,66,T70736B,T70736,330516,2134754,51.334458665383345,1,3.5898222842925414,0,4G,0,0,0,5G
67,67,T70736C,T70736,330516,2134754,71.21523539205347,1,4.98008639105269,0,4G,0,0,0,5G
68,68,T70722A,T70722,330700,2138920,13.441968144388657,0,0.06308709881442089,4G,4G,4G,4G,4G,5G
69,69,T70722B,T70722,330700,2138920,45.23704406638612,0,0.21231071510013666,4G,4G,4G,4G,4G,5G
70,70,T70722C,T70722,330700,2138920,55.0464982162174,0,0.2583493603802384,4G,4G,4G,4G,4G,5G
71,71,T70725A,T70725,333055,2136495,61.971759226524384,0,0.7222815760667178,0,4G,4G,4G,4G,0
72,72,T70725B,T70725,333055,2136495,59.2113960192479,0,0.690109510713845,0,4G,4G,4G,4G,0
73,73,T70725C,T70725,333055,2136495,34.87663627640303,0,0.40648760228907965,0,4G,4G,4G,4G,0
74,74,T78279A,T78279,326299,2136325,6.425869251919734,0,0.44936148614823307,0,4G,0,0,0,0
75,75,T78279B,T78279,326299,2136325,3.875161756432499,0,0.27099033261765726,0,4G,0,0,0,0
76,76,T78279C,T78279,326299,2136325,9.348455975778862,0,0.6537381801243959,0,4G,0,0,0,0
77,77,T70731A,T70731,334370,2128940,11.452796542355065,0,0.13348247718362546,0,4G,4G,4G,4G,0
78,78,T70731B,T70731,334370,2128940,49.33933227000341,0,0.5750504926573824,0,4G,4G,4G,4G,0
79,79,T70731C,T70731,334370,2128940,49.52341845477925,0,0.5771960192864715,0,4G,4G,4G,4G,0
80,80,T70743A,T70743,336807,2138015,4.188253549182994,0,0.048814143929871726,0,4G,4G,4G,4G,0
81,81,T70743B,T70743,336807,2138015,17.88591814395373,0,0.20846058442836518,0,4G,4G,4G,4G,0
82,82,T70743C,T70743,336807,2138015,14.307048436507367,0,0.16674881627630964,0,4G,4G,4G,4G,0
83,83,T78273A,T78273,330839,2133352,27.773589507501583,0,0.130349601105278,4G,4G,4G,4G,4G,5G
84,84,T78273B,T78273,330839,2133352,87.48030453192514,0,0.41057072573297576,4G,4G,4G,4G,4G,5G
85,85,T78273C,T78273,330839,2133352,132.39070962239794,0,0.6213484283211993,4G,4G,4G,4G,4G,5G
