,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,rho_avec_chg,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,T70730A,T70730,332710,2132198,87.4017122932582,1,1.3582239672611998,0.37728443535033324,5G,5G,5G,5G,5G,5G
1,T70730B,T70730,332710,2132198,66.38481411734386,1,1.0316210430045667,1.0316210430045667,0,4G,4G,4G,0,0
2,T70730C,T70730,332710,2132198,20.274755686126085,0,0.3150700184324178,0.31507001843241783,0,4G,4G,4G,0,0
3,T78259A,T78259,334998,2134973,49.61721225437208,0,0.2496212318477239,0.2141811804125532,5G,5G,5G,5G,5G,5G
4,T78259B,T78259,334998,2134973,50.112108300992574,0,0.2521110243044351,0.5391297288971767,4G,4G,4G,4G,4G,0
5,T78259C,T78259,334998,2134973,68.96132979469824,0,0.3469403320153858,0.7419185561559789,4G,4G,4G,4G,4G,0
6,T70745A,T70745,333740,2138512,69.36143425775809,1,1.077877766243327,0.2994104906231464,5G,5G,5G,5G,5G,5G
7,T70745B,T70745,333740,2138512,75.08319270919677,1,1.166793981494899,1.1667939814948993,0,4G,4G,4G,0,0
8,T70745C,T70745,333740,2138512,13.177141765028637,0,0.2047729878015328,0.20477298780153283,0,4G,4G,4G,0,0
9,T70747A,T70747,330348,2141263,21.36130960902017,0,0.4979326249188852,0.09220974535534911,5G,5G,5G,5G,5G,5G
10,T70747B,T70747,330348,2141263,26.175207878213133,0,0.6101447057858539,0.6101447057858539,0,4G,4G,0,0,0
11,T70747C,T70747,330348,2141263,75.72277750487467,1,1.765099708738337,1.7650997087383373,0,4G,4G,0,0,0
12,T78264A,T78264,325260,2135700,9.50183256110094,0,0.2214879384872014,0.041016284905037295,5G,5G,5G,5G,5G,5G
13,T78264B,T78264,325260,2135700,12.407788389444129,0,0.2892258365837792,0.271149221797293,0,5G,4G,0,0,0
14,T78264C,T78264,325260,2135700,23.6551029638446,0,0.5514010014882191,0.5169384388952054,0,5G,4G,0,0,0
15,T78270A,T78270,329209,2135671,43.23469084473989,0,0.2029130841729942,0.18662993544306264,5G,5G,5G,5G,5G,5G
16,T78270B,T78270,329209,2135671,32.12252430744827,0,0.1507604275939751,0.34558928786926596,4G,4G,4G,4G,4G,0
17,T78270C,T78270,329209,2135671,61.77530368159083,0,0.289929617879527,0.6646078932930697,4G,4G,4G,4G,4G,0
18,T70738A,T70738,328550,2134560,72.48282003973624,0,0.3401831324904315,0.31288448605601415,5G,5G,5G,5G,5G,5G
19,T70738B,T70738,328550,2134560,29.686871312631357,0,0.1393291937514964,0.3193853825995842,4G,4G,4G,4G,4G,0
20,T70738C,T70738,328550,2134560,66.28693969566505,0,0.3111040488837708,0.7131462043643362,4G,4G,4G,4G,4G,0
21,T36870A,T36870,339649,2128802,38.74269536148117,1,0.903093131969258,0.16723946888319594,5G,5G,5G,5G,5G,5G
22,T36870B,T36870,339649,2128802,11.225899896606917,0,0.2616759882658955,0.24532123899927705,0,5G,4G,0,0,0
23,T78256A,T78256,327930,2135899,44.84781782452286,0,0.2340455997522328,0.1935932738691309,5G,5G,5G,5G,5G,5G
24,T78256B,T78256,327930,2135899,84.11931001531306,0,0.438990241182095,1.1764938463680148,4G,4G,4G,4G,0,0
25,T78256C,T78256,327930,2135899,61.88056463783286,0,0.3229337471967063,0.8654624424871729,4G,4G,4G,4G,0,0
26,T78274A,T78274,330815,2134120,148.3868437543752,1,2.3059338578768487,0.6405371827435691,5G,5G,5G,5G,5G,5G
27,T78274B,T78274,330815,2134120,27.741171346246084,0,0.431098233818898,0.431098233818898,0,4G,4G,4G,0,0
28,T78274C,T78274,330815,2134120,51.75451965749067,1,0.8042660397434448,0.8042660397434448,0,4G,4G,4G,0,0
29,T77125A,T77125,336170,2124950,50.59483588291985,0,0.2374564034491944,0.21840125996253065,5G,5G,5G,5G,5G,5G
30,T77125B,T77125,336170,2124950,42.30754358222895,0,0.1985617101526679,0.45516453558073106,4G,4G,4G,4G,4G,0
31,T77125C,T77125,336170,2124950,142.28870444667194,0,0.6678026209540149,1.5308090849561262,4G,4G,4G,4G,4G,0
32,T78280A,T78280,326663,2134352,10.49155950507086,0,0.2445584966216983,0.0452886104854997,5G,5G,5G,5G,5G,5G
33,T78280B,T78280,326663,2134352,32.665318025757344,0,0.7614293246097283,0.7138399918216203,0,5G,4G,0,0,0
34,T78280C,T78280,326663,2134352,32.555537228679135,0,0.7588703316708424,0.7114409359414147,0,5G,4G,0,0,0
35,T78262A,T78262,330700,2135150,103.61677340073528,1,1.2076547016402712,0.44727951912602637,5G,5G,5G,5G,5G,5G
36,T78262B,T78262,330700,2135150,62.127535993660246,0,0.7240971561032663,0.7240971561032663,0,4G,4G,4G,4G,0
37,T78262C,T78262,330700,2135150,70.99403804523814,1,0.8274363408535914,0.8274363408535914,0,4G,4G,4G,4G,0
38,T76995A,T76995,338993,2130434,15.545919761619492,0,0.3623757520191024,0.06710662074427821,5G,5G,5G,5G,5G,5G
39,T76995B,T76995,338993,2130434,15.498994017928736,0,0.3612819118398306,0.33870179234984127,0,5G,4G,0,0,0
40,T76995C,T76995,338993,2130434,27.997519803852803,0,0.6526228392506481,0.6118339117974826,0,5G,4G,0,0,0
41,T70737A,T70737,331250,2136350,48.71125590338476,0,0.2286162101815589,0.2102704649200758,5G,5G,5G,5G,5G,5G
42,T70737B,T70737,331250,2136350,50.09163151639214,0,0.2350947177753421,0.5389094299773226,4G,4G,4G,4G,4G,0
43,T70737C,T70737,331250,2136350,31.955742470506078,0,0.1499776715187782,0.3437949700968916,4G,4G,4G,4G,4G,0
44,T70724A,T70724,330420,2136140,61.624967520804645,0,0.7182397146946928,0.2660147091461825,5G,5G,5G,5G,5G,5G
45,T70724B,T70724,330420,2136140,43.47840352134838,0,0.5067412997826152,0.49039480624124054,0,5G,4G,4G,4G,0
46,T70724C,T70724,330420,2136140,62.25095314017749,0,0.7255355843843531,0.7021312106945352,0,5G,4G,4G,4G,0
47,T70721A,T70721,334257,2132312,4.094947469729869,0,0.2863599629181726,0.2863599629181726,0,4G,0,0,0,0
48,T70721B,T70721,334257,2132312,7.3313852234720756,0,0.5126842813616835,0.5126842813616835,0,4G,0,0,0,0
49,T70721C,T70721,334257,2132312,1.636525358283875,0,0.1144423327471241,0.11444233274712412,0,4G,0,0,0,0
50,T78269A,T78269,332350,2134075,106.91116654854711,0,0.5017654599359231,0.4615003304348922,5G,5G,5G,5G,5G,5G
51,T78269B,T78269,332350,2134075,86.55125748854384,0,0.4062104354838496,0.9311593059552861,4G,4G,4G,4G,4G,0
52,T78269C,T78269,332350,2134075,42.61574082623736,0,0.2000081702080882,0.4584802670923868,4G,4G,4G,4G,4G,0
53,T78271A,T78271,331270,2134765,110.99829086027395,1,1.2936863736628663,0.47914310135661725,5G,5G,5G,5G,5G,5G
54,T78271B,T78271,331270,2134765,94.96753205317634,1,1.106847692927463,1.1068476929274633,0,4G,4G,4G,4G,0
55,T78271C,T78271,331270,2134765,209.52214430882964,1,2.4419830339024435,2.4419830339024435,0,4G,4G,4G,4G,0
56,T70744A,T70744,329300,2132650,182.2875089264836,1,0.8555287413830366,0.7868752004078546,5G,5G,5G,5G,5G,5G
57,T70744B,T70744,329300,2132650,134.79146925222398,0,0.6326158973681136,1.4501502878130605,4G,4G,4G,4G,4G,0
58,T70744C,T70744,329300,2132650,50.21087729780102,0,0.2356543732003614,0.5401923324131362,4G,4G,4G,4G,4G,0
59,T70735A,T70735,326201,2135375,37.50080695530037,0,0.1760022854240407,0.16187864523569184,5G,5G,5G,5G,5G,5G
60,T70735B,T70735,326201,2135375,39.18184998227057,0,0.1838919133724624,0.42153684757687543,4G,4G,4G,4G,4G,0
61,T70735C,T70735,326201,2135375,56.38384167723184,0,0.2646259054640815,0.6066039986792021,4G,4G,4G,4G,4G,0
62,T78258A,T78258,330075,2133875,45.41827220112985,0,0.7058006558062138,0.19605573772394824,5G,5G,5G,5G,5G,5G
63,T78258B,T78258,330075,2133875,180.16727947879116,1,2.799802322902737,2.799802322902737,0,4G,4G,4G,0,0
64,T78258C,T78258,330075,2133875,102.029152921641,1,1.5855346219369235,1.5855346219369235,0,4G,4G,4G,0,0
65,T70736A,T70736,330516,2134754,30.80905978834094,1,2.154479705478387,0.13299257441224613,5G,5G,5G,5G,5G,5G
66,T70736B,T70736,330516,2134754,66.59257429202148,1,4.656823377064439,4.656823377064439,0,4G,0,0,0,0
67,T70736C,T70736,330516,2134754,90.89010345677956,1,6.355951290683886,6.355951290683886,0,4G,0,0,0,0
