,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,rho_avec_chg,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,T70730A,T70730,332710,2132198,71.91974936170722,1,1.117634022714953,0.310453895198598,5G,5G,5G,5G,5G,5G
1,T70730B,T70730,332710,2132198,53.790312823561536,1,0.8359022971804435,0.8359022971804435,0,4G,4G,4G,0,0
2,T70730C,T70730,332710,2132198,18.12131899786641,0,0.2816055788324229,0.2816055788324229,0,4G,4G,4G,0,0
3,T78259A,T78259,334998,2134973,40.28434297664008,0,0.2026681238448462,0.1738942544100841,5G,5G,5G,5G,5G,5G
4,T78259B,T78259,334998,2134973,40.30400401734312,0,0.2027670373665197,0.43360951067609593,4G,4G,4G,4G,4G,0
5,T78259C,T78259,334998,2134973,51.59258884339289,0,0.2595592335030079,0.5550574377987401,4G,4G,4G,4G,4G,0
6,T70745A,T70745,333740,2138512,53.69801310625176,1,0.8344679581391107,0.23179665503864183,5G,5G,5G,5G,5G,5G
7,T70745B,T70745,333740,2138512,58.94834970548245,1,0.9160582704814678,0.9160582704814678,0,4G,4G,4G,0,0
8,T70745C,T70745,333740,2138512,11.722123379217877,0,0.1821619794750253,0.1821619794750253,0,4G,4G,4G,0,0
9,T70747A,T70747,330348,2141263,16.25411525897809,0,0.3788838055705848,0.07016366769825645,5G,5G,5G,5G,5G,5G
10,T70747B,T70747,330348,2141263,19.33920360949611,0,0.4507972869346413,0.4507972869346413,0,4G,4G,0,0,0
11,T70747C,T70747,330348,2141263,63.23401888989753,1,1.4739864543099657,1.4739864543099657,0,4G,4G,0,0,0
12,T78264A,T78264,325260,2135700,7.509211628308575,0,0.175039898095771,0.0324147959436613,5G,5G,5G,5G,5G,5G
13,T78264B,T78264,325260,2135700,9.647817497279592,0,0.2248908507524381,0.2108351725804107,0,5G,4G,0,0,0
14,T78264C,T78264,325260,2135700,18.88456646171002,0,0.4401996844221449,0.41268720414576093,0,5G,4G,0,0,0
15,T78270A,T78270,329209,2135671,34.22741974218792,0,0.1606393192011448,0.14774850963562083,5G,5G,5G,5G,5G,5G
16,T78270B,T78270,329209,2135671,25.08493431747524,0,0.1177309537592117,0.2698755709249622,4G,4G,4G,4G,4G,0
17,T78270C,T78270,329209,2135671,47.967213772836246,0,0.2251242022473189,0.5160539405361618,4G,4G,4G,4G,4G,0
18,T70738A,T70738,328550,2134560,58.35528590113731,0,0.2738784713997151,0.2519005693738121,5G,5G,5G,5G,5G,5G
19,T70738B,T70738,328550,2134560,23.163771936122288,0,0.1087143752575317,0.24920679866726506,4G,4G,4G,4G,4G,0
20,T70738C,T70738,328550,2134560,52.60650852090322,0,0.2468977731304417,0.565965664560551,4G,4G,4G,4G,4G,0
