,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,rho_avec_chg,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,T70730A,T70730,332710,2132198,79.67132040541127,1,1.2380935571936484,0.34391487699823564,5G,5G,5G,5G,5G,5G
1,T70730B,T70730,332710,2132198,60.09617804042109,1,0.9338955406436844,0.9338955406436844,0,4G,4G,4G,0,0
2,T70730C,T70730,332710,2132198,19.199510280907507,0,0.2983606881259908,0.2983606881259908,0,4G,4G,4G,0,0
3,T78259A,T78259,334998,2134973,44.957161247023,0,0.2261767935152336,0.19406527344825605,5G,5G,5G,5G,5G,5G
4,T78259B,T78259,334998,2134973,45.21476484882834,0,0.2274727818525347,0.48644179503849744,4G,4G,4G,4G,4G,0
5,T78259C,T78259,334998,2134973,60.28883944281528,0,0.3033095509524338,0.6486158089598201,4G,4G,4G,4G,4G,0
6,T70745A,T70745,333740,2138512,61.540437376363,1,0.9563393531680344,0.26564982032445394,5G,5G,5G,5G,5G,5G
7,T70745B,T70745,333740,2138512,67.026807351665,1,1.041597627842502,1.041597627842502,0,4G,4G,4G,0,0
8,T70745C,T70745,333740,2138512,12.450627796737354,0,0.1934829494442479,0.19348294944424796,0,4G,4G,4G,0,0
9,T70747A,T70747,330348,2141263,18.811205726988216,0,0.4384896439857393,0.08120178592328506,5G,5G,5G,5G,5G,5G
10,T70747B,T70747,330348,2141263,22.761881533368108,0,0.5305799891227997,0.5305799891227997,0,4G,4G,0,0,0
11,T70747C,T70747,330348,2141263,69.48694043994081,1,1.6197422013972218,1.6197422013972218,0,4G,4G,0,0,0
12,T78264A,T78264,325260,2135700,8.506885036519254,0,0.1982956884969523,0.03672142379573191,5G,5G,5G,5G,5G,5G
13,T78264B,T78264,325260,2135700,11.02969074834966,0,0.257102348446379,0.24103345166848034,0,5G,4G,0,0,0
14,T78264C,T78264,325260,2135700,21.273097733640604,0,0.4958764040475665,0.4648841287945936,0,5G,4G,0,0,0
15,T78270A,T78270,329209,2135671,38.73721621761065,0,0.18180511671099,0.16721581722183654,5G,5G,5G,5G,5G,5G
16,T78270B,T78270,329209,2135671,28.608542985505512,0,0.1342682826559605,0.3077842171652018,4G,4G,4G,4G,4G,0
17,T78270C,T78270,329209,2135671,54.880703385153865,0,0.257571236613103,0.5904325270054208,4G,4G,4G,4G,4G,0
18,T70738A,T70738,328550,2134560,65.42871612648233,0,0.3070761539704432,0.2824342403802224,5G,5G,5G,5G,5G,5G
19,T70738B,T70738,328550,2134560,26.42978338865624,0,0.124042724872841,0.2843440924008202,4G,4G,4G,4G,4G,0
20,T70738C,T70738,328550,2134560,59.45608144834896,0,0.2790448277483876,0.639656605146304,4G,4G,4G,4G,4G,0
21,T36870A,T36870,339649,2128802,34.03469513021253,0,0.793349536834791,0.14691658089533166,5G,5G,5G,5G,5G,5G
22,T36870B,T36870,339649,2128802,9.947723573807927,0,0.2318816683871311,0.2173890641129355,0,5G,4G,0,0,0
23,T78256A,T78256,327930,2135899,41.15939312686388,0,0.2147969581821515,0.17767155800252044,5G,5G,5G,5G,5G,5G
24,T78256B,T78256,327930,2135899,76.72391268282539,0,0.4003961626282506,1.0730617158437117,4G,4G,4G,4G,0,0
25,T78256C,T78256,327930,2135899,56.137122839074834,0,0.2929606661051812,0.7851345851618858,4G,4G,4G,4G,0,0
26,T78274A,T78274,330815,2134120,131.55033618538943,1,2.044294268615221,0.5678595190597834,5G,5G,5G,5G,5G,5G
27,T78274B,T78274,330815,2134120,24.636934747950896,0,0.3828583488415058,0.3828583488415058,0,4G,4G,4G,0,0
28,T78274C,T78274,330815,2134120,45.75401444285856,0,0.7110180954601176,0.7110180954601176,0,4G,4G,4G,0,0
29,T77125A,T77125,336170,2124950,44.65418525765401,0,0.2095751877676538,0.19275742578629892,5G,5G,5G,5G,5G,5G
30,T77125B,T77125,336170,2124950,37.5185263189717,0,0.1760854475945543,0.40364202602444005,4G,4G,4G,4G,4G,0
31,T77125C,T77125,336170,2124950,127.62187332588374,0,0.5989668809587635,1.3730163886593194,4G,4G,4G,4G,4G,0
32,T78280A,T78280,326663,2134352,9.207707838824854,0,0.2146318843548917,0.03974664525090587,5G,5G,5G,5G,5G,5G
33,T78280B,T78280,326663,2134352,29.45494539809261,0,0.6865954638250027,0.6436832473359401,0,5G,4G,0,0,0
