,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,rho_avec_chg,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,T70730A,T70730,332710,2132198,64.18935747386028,1,0.9975036126474016,0.2770843368465004,5G,5G,5G,5G,5G,5G
1,T70730B,T70730,332710,2132198,47.501676746638765,0,0.7381767948195613,0.7381767948195613,0,4G,4G,4G,0,0
2,T70730C,T70730,332710,2132198,17.046073592647836,0,0.2648962485259959,0.2648962485259959,0,4G,4G,4G,0,0
3,T78259A,T78259,334998,2134973,35.624291969291,0,0.1792236855123559,0.15377834744578694,5G,5G,5G,5G,5G,5G
4,T78259B,T78259,334998,2134973,35.406660565178896,0,0.1781287949146194,0.38092157681741684,4G,4G,4G,4G,4G,0
5,T78259C,T78259,334998,2134973,42.92009849150992,0,0.2159284524400559,0.4617546906025811,4G,4G,4G,4G,4G,0
6,T70745A,T70745,333740,2138512,45.87701622485666,0,0.7129295450638177,0.19803598473994932,5G,5G,5G,5G,5G,5G
7,T70745B,T70745,333740,2138512,50.89196434795067,0,0.7908619168290703,0.7908619168290703,0,4G,4G,4G,0,0
8,T70745C,T70745,333740,2138512,10.995609410926596,0,0.1708719411177404,0.17087194111774043,0,4G,4G,4G,0,0
9,T70747A,T70747,330348,2141263,13.70401137694613,0,0.3194408246374389,0.059155708266192396,5G,5G,5G,5G,5G,5G
10,T70747B,T70747,330348,2141263,15.925877264651085,0,0.371232570271587,0.37123257027158707,0,4G,4G,0,0,0
11,T70747C,T70747,330348,2141263,56.99818182496367,1,1.32862894696885,1.3286289469688501,0,4G,4G,0,0,0
12,T78264A,T78264,325260,2135700,6.514264103726888,0,0.1518476481055218,0.028119934834355903,5G,5G,5G,5G,5G,5G
13,T78264B,T78264,325260,2135700,8.269719856185127,0,0.1927673626150379,0.18071940245159807,0,5G,4G,0,0,0
14,T78264C,T78264,325260,2135700,16.50256123150602,0,0.3846750869814923,0.3606328940451491,0,5G,4G,0,0,0
15,T78270A,T78270,329209,2135671,29.72994511505868,0,0.1395313517391405,0.1283343914143947,5G,5G,5G,5G,5G,5G
16,T78270B,T78270,329209,2135671,21.57095299553248,0,0.1012388088211971,0.23207050022089812,4G,4G,4G,4G,4G,0
17,T78270C,T78270,329209,2135671,41.07261347639927,0,0.1927658209808948,0.44187857424851285,4G,4G,4G,4G,4G,0
18,T70738A,T70738,328550,2134560,51.3011819878834,0,0.2407714928797268,0.22145032369802037,5G,5G,5G,5G,5G,5G
19,T70738B,T70738,328550,2134560,19.906684012147167,0,0.0934279063788762,0.214165508468501,4G,4G,4G,4G,4G,0
20,T70738C,T70738,328550,2134560,45.77565027358712,0,0.2148385519950585,0.49247606534251875,4G,4G,4G,4G,4G,0
21,T36870A,T36870,339649,2128802,24.605796036904657,0,0.5735616791819268,0.10621512577443087,5G,5G,5G,5G,5G,5G
22,T36870B,T36870,339649,2128802,7.387869075270774,0,0.1722114003559621,0.16144818783371448,0,5G,4G,0,0,0
23,T78256A,T78256,327930,2135899,33.77243845840165,0,0.1762469390376873,0.14578450512993893,5G,5G,5G,5G,5G,5G
24,T78256B,T78256,327930,2135899,61.91285665529526,0,0.3231022683190442,0.8659140790950386,4G,4G,4G,4G,0,0
25,T78256C,T78256,327930,2135899,44.63450378457587,0,0.2329323858917434,0.6242587941898723,4G,4G,4G,4G,0,0
26,T78274A,T78274,330815,2134120,97.83119362942068,1,1.5202982692994669,0.4223050748054074,5G,5G,5G,5G,5G,5G
27,T78274B,T78274,330815,2134120,18.419956793556977,0,0.2862464148182903,0.2862464148182903,0,4G,4G,4G,0,0
28,T78274C,T78274,330815,2134120,33.73656427328027,0,0.5242667330735086,0.5242667330735086,0,4G,4G,4G,0,0
29,T77125A,T77125,336170,2124950,32.7566082519846,0,0.1537363695122945,0.14139950035390056,5G,5G,5G,5G,5G,5G
30,T77125B,T77125,336170,2124950,27.927371197215404,0,0.1310713436767982,0.3004558493514298,4G,4G,4G,4G,4G,0
31,T77125C,T77125,336170,2124950,98.24802798534628,0,0.4611068098997807,1.056998687308728,4G,4G,4G,4G,4G,0
32,T78280A,T78280,326663,2134352,6.636487104507509,0,0.1546966691027391,0.028647531315322064,5G,5G,5G,5G,5G,5G
33,T78280B,T78280,326663,2134352,23.025404601317497,0,0.5367227179794288,0.5031775481057146,0,5G,4G,0,0,0
34,T78280C,T78280,326663,2134352,22.2117812295504,0,0.517757138217958,0.4853973170793356,0,5G,4G,0,0,0
35,T78262A,T78262,330700,2135150,70.33247554534361,1,0.819725822206802,0.3036021563728896,5G,5G,5G,5G,5G,5G
36,T78262B,T78262,330700,2135150,43.171879878929786,0,0.5031687631576899,0.5031687631576899,0,4G,4G,4G,4G,0
37,T78262C,T78262,330700,2135150,51.64631286114004,0,0.6019383783349656,0.6019383783349656,0,4G,4G,4G,4G,0
38,T76995A,T76995,338993,2130434,14.66432965578534,0,0.3418258661022224,0.06330108631522637,5G,5G,5G,5G,5G,5G
39,T76995B,T76995,338993,2130434,10.62027739428314,0,0.2475589136196536,0.23208648151842529,0,5G,4G,0,0,0
40,T76995C,T76995,338993,2130434,20.359463165036107,0,0.4745795609565526,0.4449183383967681,0,5G,4G,0,0,0
41,T70737A,T70737,331250,2136350,33.210203460423664,0,0.1558652248576696,0.14335752162835044,5G,5G,5G,5G,5G,5G
42,T70737B,T70737,331250,2136350,34.195181102034994,0,0.1604880138078331,0.3678879085748789,4G,4G,4G,4G,4G,0
43,T70737C,T70737,331250,2136350,22.792791283212782,0,0.1069732542507757,0.24521561359023974,4G,4G,4G,4G,4G,0
44,T70724A,T70724,330420,2136140,43.75936780378214,0,0.5100159417690227,0.18889479324778616,5G,5G,5G,5G,5G,5G
45,T70724B,T70724,330420,2136140,31.52148778926753,0,0.3673833075672206,0.3555322331295684,0,5G,4G,4G,4G,0
46,T70724C,T70724,330420,2136140,41.63601112814816,0,0.4852681949667617,0.46961438222589846,0,5G,4G,4G,4G,0
47,T70721A,T70721,334257,2132312,3.0417984028739484,0,0.2127131750261502,0.21271317502615023,0,4G,0,0,0,0
48,T70721B,T70721,334257,2132312,7.026606799518984,0,0.4913711048614673,0.49137110486146734,0,4G,0,0,0,0
49,T70721C,T70721,334257,2132312,1.168531661880838,0,0.0817155008308278,0.08171550083082783,0,4G,0,0,0,0
50,T78269A,T78269,332350,2134075,71.17823125890382,0,0.3340603147271029,0.307253005520607,5G,5G,5G,5G,5G,5G
51,T78269B,T78269,332350,2134075,59.116135338521325,0,0.2774493609542466,0.6359993043412729,4G,4G,4G,4G,4G,0
52,T78269C,T78269,332350,2134075,28.037074410919352,0,0.1315862130328969,0.3016360883369484,4G,4G,4G,4G,4G,0
53,T78271A,T78271,331270,2134765,79.18024226638107,1,0.922846646461318,0.34179505424493256,5G,5G,5G,5G,5G,5G
54,T78271B,T78271,331270,2134765,66.17312934909387,0,0.7712485938122828,0.7712485938122828,0,4G,4G,4G,4G,0
55,T78271C,T78271,331270,2134765,143.8647042561059,1,1.676744804849719,1.6767448048497193,0,4G,4G,4G,4G,0
56,T70744A,T70744,329300,2132650,127.58504517242956,0,0.5987940356334986,0.55074266240365,5G,5G,5G,5G,5G,5G
57,T70744B,T70744,329300,2132650,89.35577072638472,0,0.4193728386276093,0.9613315839309814,4G,4G,4G,4G,4G,0
58,T70744C,T70744,329300,2132650,34.27740317236668,0,0.1608739060983089,0.3687724924407389,4G,4G,4G,4G,4G,0
59,T70735A,T70735,326201,2135375,27.12605810118928,0,0.1273105463049199,0.11709426789773496,5G,5G,5G,5G,5G,5G
60,T70735B,T70735,326201,2135375,27.99678602257464,0,0.1313971278104596,0.30120264682705367,4G,4G,4G,4G,4G,0
61,T70735C,T70735,326201,2135375,40.53197941613965,0,0.1902284667768322,0.43606217768843086,4G,4G,4G,4G,4G,0
62,T78258A,T78258,330075,2133875,30.02054636212065,0,0.466519756987112,0.1295888213853089,5G,5G,5G,5G,5G,5G
63,T78258B,T78258,330075,2133875,121.2984226045532,1,1.8849793722541293,1.8849793722541293,0,4G,4G,4G,0,0
64,T78258C,T78258,330075,2133875,70.33540353044137,1,1.0930132638763228,1.0930132638763228,0,4G,4G,4G,0,0
65,T70736A,T70736,330516,2134754,20.58905363403269,1,1.4397939604218664,0.08887617039641152,5G,5G,5G,5G,5G,5G
66,T70736B,T70736,330516,2134754,43.71583731966116,1,3.0570515608154656,3.0570515608154656,0,4G,0,0,0,0
67,T70736C,T70736,330516,2134754,61.39125886178668,1,4.293095025299768,4.293095025299768,0,4G,0,0,0,0
68,T70722A,T70722,330700,2138920,11.836694861615054,0,0.0555530804975597,0.05109511724775557,5G,5G,5G,5G,5G,5G
69,T70722B,T70722,330700,2138920,39.227562539542255,0,0.1841064558104954,0.4220286448579048,4G,4G,4G,4G,4G,0
70,T70722C,T70722,330700,2138920,48.30744923565497,0,0.2267210270599097,0.5197143543373316,4G,4G,4G,4G,4G,0
71,T70725A,T70725,333055,2136495,53.14129161237521,0,0.6193623731046062,0.22939347152022452,5G,5G,5G,5G,5G,5G
72,T70725B,T70725,333055,2136495,52.30810691641307,0,0.60965159576239,0.60965159576239,0,4G,4G,4G,4G,0
73,T70725C,T70725,333055,2136495,32.08303801229883,0,0.3739281819615248,0.37392818196152483,0,4G,4G,4G,4G,0
74,T78279A,T78279,326299,2136325,5.628129044444317,0,0.3935754576534487,0.02429478133663264,5G,5G,5G,5G,5G,5G
75,T78279B,T78279,326299,2136325,3.356779937995862,0,0.2347398558039064,0.15649323720260427,4G,4G,0,0,0,0
76,T78279C,T78279,326299,2136325,7.969273476584196,0,0.5572918515093843,0.37152790100625627,4G,4G,0,0,0,0
77,T70731A,T70731,334370,2128940,10.068486740996637,0,0.1173483303146461,0.04346234456098004,5G,5G,5G,5G,5G,5G
78,T70731B,T70731,334370,2128940,42.28481349525429,0,0.4928299941171828,0.47693225237146725,0,5G,4G,4G,4G,0
79,T70731C,T70731,334370,2128940,42.519098651128346,0,0.4955605903394912,0.47957476484466893,0,5G,4G,4G,4G,0
80,T70743A,T70743,336807,2138015,3.589118792059558,0,0.0418312213526755,0.0418312213526755,0,4G,4G,4G,4G,0
81,T70743B,T70743,336807,2138015,16.37832831229667,0,0.190889607369425,0.19088960736942506,0,4G,4G,4G,4G,0
82,T70743C,T70743,336807,2138015,12.718420094965376,0,0.1482333344401559,0.1482333344401559,0,4G,4G,4G,4G,0
83,T78273A,T78273,330839,2133352,23.97094533694527,0,0.1125026767585548,0.1034746841791646,5G,5G,5G,5G,5G,5G
84,T78273B,T78273,330839,2133352,75.71720787288696,0,0.3553630631852769,0.8146014833016348,4G,4G,4G,4G,4G,0
85,T78273C,T78273,330839,2133352,114.67041927971812,0,0.5381819086671898,1.233678529098635,4G,4G,4G,4G,4G,0
