secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
T70735C,T70735,326201,2135375,61.662974638270754,0,0.28940242473492633,4G,4G,4G,4G,4G,0
T78258A,T78258,330075,2133875,50.54616447415755,0,0.7854881814165898,5G,5G,5G,5G,5G,5G
T78258B,T78258,330075,2133875,199.77232761665323,1,3.104465075627867,0,4G,4G,4G,0,0
T78258C,T78258,330075,2133875,112.58409683385622,1,1.74955861435674,0,4G,4G,4G,0,0
T70736A,T70736,330516,2134754,34.21262023206586,1,2.3924909253192905,5G,5G,5G,5G,5G,5G
T70736B,T70736,330516,2134754,74.21119563774366,1,5.189594100541514,0,4G,0,0,0,0
T70736C,T70736,330516,2134754,100.71407998704636,1,7.042942656436808,0,4G,0,0,0,0
T70722A,T70722,330700,2138920,18.262186001703366,0,0.0857097949110779,5G,5G,5G,5G,5G,5G
T70722B,T70722,330700,2138920,63.28195297986796,0,0.2970007649123197,4G,4G,4G,4G,4G,0
T70722C,T70722,330700,2138920,75.28210830579663,0,0.3533210133092253,4G,4G,4G,4G,4G,0
T70725A,T70725,333055,2136495,88.48735513092846,1,1.0313211553721267,5G,5G,5G,5G,5G,5G
T70725B,T70725,333055,2136495,79.94017644858205,1,0.9317036882119121,0,4G,4G,4G,4G,0
T70725C,T70725,333055,2136495,43.26508476258991,0,0.5042550671630526,0,4G,4G,4G,4G,0
T78279A,T78279,326299,2136325,8.821275463955502,0,0.6168724100668183,5G,5G,5G,5G,5G,5G
T78279B,T78279,326299,2136325,5.431727435902511,0,0.379841079433742,4G,4G,0,0,0,0
T78279C,T78279,326299,2136325,13.489782055552435,1,0.9433414024861843,4G,4G,0,0,0,0
T70731A,T70731,334370,2128940,15.609518576023119,0,0.18192912093267039,5G,5G,5G,5G,5G,5G
T70731B,T70731,334370,2128940,70.52221604294876,1,0.8219372499178177,0,5G,4G,4G,4G,0
T70731C,T70731,334370,2128940,70.55556778300226,1,0.8223259648368562,0,5G,4G,4G,4G,0
T70743A,T70743,336807,2138015,5.987299285641313,0,0.06978204295619246,0,4G,4G,4G,4G,0
T70743B,T70743,336807,2138015,22.41281802202534,0,0.2612216552683606,0,4G,4G,4G,4G,0
T70743C,T70743,336807,2138015,19.077285867548525,0,0.2223459891322672,0,4G,4G,4G,4G,0
T78273A,T78273,330839,2133352,39.191940222377525,0,0.18393926982858932,5G,5G,5G,5G,5G,5G
T78273B,T78273,330839,2133352,122.80182217111923,0,0.5763449672460658,4G,4G,4G,4G,4G,0
T78273C,T78273,330839,2133352,185.60012939110226,1,0.8710758407617322,4G,4G,4G,4G,4G,0
